ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-05VTRJ4lEAM,seatgeek,D,127,Section 127 Row D,Section 127 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJ4lEAM,14,1662728605126
seatgeek-05VTRJNkMqL,seatgeek,L,109,Section 109 Row L,Section 109 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJNkMqL,52,1662479434901
seatgeek-05VTRJPnnm9,seatgeek,N,314,Section 314 Row N,Section 314 Row N,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJPnnm9,28,1662564095951
seatgeek-05VTRJV9G6x,seatgeek,R,326,Section 326 Row R,Section 326 Row R,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJV9G6x,7,1662422531728
seatgeek-05VTRJdJBoz,seatgeek,L,128,Section 128 Row L,Section 128 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJdJBoz,6,1662692780002
seatgeek-05VTRJdn6Gd,seatgeek,L,323,Section 323 Row L,Section 323 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJdn6Gd,3,1662140861716
seatgeek-05VTRJmEOoB,seatgeek,B,114,Section 114 Row B,Section 114 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJmEOoB,3,1662080615938
seatgeek-05VTRJzOP6D,seatgeek,L,104,Section 104 Row L,Section 104 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRJzOP6D,21,1662460731538
seatgeek-05VTRL80bqo,seatgeek,D,320,Section 320 Row D,Section 320 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL80bqo,12,1662776096113
seatgeek-05VTRL83vnR,seatgeek,S,314,Section 314 Row S,Section 314 Row S,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL83vnR,13,1662687966475
seatgeek-05VTRL897vb,seatgeek,F,331,Section 331 Row F,Section 331 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL897vb,8,1662776096113
seatgeek-05VTRL8Dad8,seatgeek,O,327,Section 327 Row O,Section 327 Row O,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8Dad8,14,1662734394773
seatgeek-05VTRL8EBoo,seatgeek,D,122,Section 122 Row D,Section 122 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8EBoo,16,1662745008287
seatgeek-05VTRL8JJOv,seatgeek,E,303,Section 303 Row E,Section 303 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8JJOv,6,1662776096113
seatgeek-05VTRL8LJPd,seatgeek,F,103,Section 103 Row F,Section 103 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8LJPd,3,1662788665951
seatgeek-05VTRL8LV0Z,seatgeek,H,317,Section 317 Row H,Section 317 Row H,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8LV0Z,15,1662751766275
seatgeek-05VTRL8Lane,seatgeek,Q,328,Section 328 Row Q,Section 328 Row Q,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8Lane,11,1662742112301
seatgeek-05VTRL8LwRP,seatgeek,F,333,Section 333 Row F,Section 333 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8LwRP,3,1662722790928
seatgeek-05VTRL8NO9r,seatgeek,L,319,Section 319 Row L,Section 319 Row L,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8NO9r,3,1662433823978
seatgeek-05VTRL8PLZa,seatgeek,D,129,Section 129 Row D,Section 129 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8PLZa,18,1662696628009
seatgeek-05VTRL8Ymz5,seatgeek,W,307,Section 307 Row W,Section 307 Row W,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8Ymz5,12,1662584147540
seatgeek-05VTRL8djgm,seatgeek,K,128,Section 128 Row K,Section 128 Row K,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8djgm,2,1662510446054
seatgeek-05VTRL8jqOA,seatgeek,Q,309,Section 309 Row Q,Section 309 Row Q,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8jqOA,3,1662249950376
seatgeek-05VTRL8m02E,seatgeek,A,134,Section 134 Row A,Section 134 Row A,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8m02E,6,1662601124001
seatgeek-05VTRL8m7b3,seatgeek,E,130,Section 130 Row E,Section 130 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8m7b3,7,1662821532690
seatgeek-05VTRL8mnXJ,seatgeek,B,106,Section 106 Row B,Section 106 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8mnXJ,65,1662736323322
seatgeek-05VTRL8nNJ9,seatgeek,F,55,Section 55 Row F,Section 55 Row F,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8nNJ9,12,1662659135645
seatgeek-05VTRL8pg8p,seatgeek,B,114,Section 114 Row B,Section 114 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8pg8p,5,1662553617458
seatgeek-05VTRL8pg9d,seatgeek,E,329,Section 329 Row E,Section 329 Row E,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=05VTRL8pg9d,2,1662333835575
